backend,metric,policy,baseline,direction,A12,ci_low,ci_high
sim,Energy (kWh),themis-base,themis-base,lower,,,
sim,Energy (kWh),k8s-default,themis-base,lower,,,
sim,Energy (kWh),carbonscaler,themis-base,lower,,,
sim,Energy (kWh),keids,themis-base,lower,,,
sim,Energy (kWh),topsis,themis-base,lower,,,
sim,Energy (kWh),per,themis-base,lower,,,
sim,Energy (kWh),themis,themis-base,lower,,,
sim,Energy (kWh),hetpolicy,themis-base,lower,,,
sim,Carbon (gCO₂e),themis-base,themis-base,lower,1.0,0.9247616000000001,1.0715856000000001
sim,Carbon (gCO₂e),k8s-default,themis-base,lower,1.0963174603174601,1.0228539682539683,1.1680325396825395
sim,Carbon (gCO₂e),carbonscaler,themis-base,lower,0.9884444444444445,0.9165063492063492,1.0608936507936508
sim,Carbon (gCO₂e),keids,themis-base,lower,0.884,0.796,0.972
sim,Carbon (gCO₂e),topsis,themis-base,lower,0.884,0.796,0.972
sim,Carbon (gCO₂e),per,themis-base,lower,1.476,1.444,1.5
sim,Carbon (gCO₂e),themis,themis-base,lower,1.0037837837837837,0.9222148648648648,1.0875270270270267
sim,Carbon (gCO₂e),hetpolicy,themis-base,lower,0.884,0.796,0.972
sim,Makespan (min),themis-base,themis-base,lower,1.0,0.9274707739854877,1.0732472789572696
sim,Makespan (min),k8s-default,themis-base,lower,1.300079968012795,1.2370318539250966,1.3572637611622018
sim,Makespan (min),carbonscaler,themis-base,lower,1.3171398107423697,1.2593595894975345,1.3714530854324938
sim,Makespan (min),keids,themis-base,lower,1.2049180327868854,1.1229508196721312,1.2868852459016393
sim,Makespan (min),topsis,themis-base,lower,1.2049180327868854,1.1229508196721312,1.2868852459016393
sim,Makespan (min),per,themis-base,lower,1.3581336696090793,1.296500630517024,1.4137807377049179
sim,Makespan (min),themis,themis-base,lower,1.3113646433318564,1.2486112649534782,1.36802447939743
sim,Makespan (min),hetpolicy,themis-base,lower,1.2049180327868854,1.1229508196721312,1.278688524590164
sim,Tail latency p95 (s),themis-base,themis-base,lower,1.0,0.8825846354166668,1.1148057725694445
sim,Tail latency p95 (s),k8s-default,themis-base,lower,0.9979674796747968,0.8900745257452574,1.102985264227642
sim,Tail latency p95 (s),carbonscaler,themis-base,lower,1.0396341463414633,0.9368224932249323,1.1454945799457996
sim,Tail latency p95 (s),keids,themis-base,lower,0.75,0.625,0.875
sim,Tail latency p95 (s),topsis,themis-base,lower,0.75,0.625,0.875
sim,Tail latency p95 (s),per,themis-base,lower,1.046474358974359,0.9118589743589742,1.1790965544871792
sim,Tail latency p95 (s),themis,themis-base,lower,1.0205518018018016,0.910328688063063,1.1293637387387387
sim,Tail latency p95 (s),hetpolicy,themis-base,lower,0.75,0.6458333333333334,0.875
sim,Energy per job (kWh),themis-base,themis-base,lower,,,
sim,Energy per job (kWh),k8s-default,themis-base,lower,,,
sim,Energy per job (kWh),carbonscaler,themis-base,lower,,,
sim,Energy per job (kWh),keids,themis-base,lower,,,
sim,Energy per job (kWh),topsis,themis-base,lower,,,
sim,Energy per job (kWh),per,themis-base,lower,,,
sim,Energy per job (kWh),themis,themis-base,lower,,,
sim,Energy per job (kWh),hetpolicy,themis-base,lower,,,
sim,Carbon per job (g),themis-base,themis-base,lower,1.0,0.928736,1.0718431999999998
sim,Carbon per job (g),k8s-default,themis-base,lower,1.0963174603174601,1.0230444444444444,1.1661619047619047
sim,Carbon per job (g),carbonscaler,themis-base,lower,0.9884444444444445,0.9184730158730159,1.0613349206349205
sim,Carbon per job (g),keids,themis-base,lower,0.884,0.796,0.972
sim,Carbon per job (g),topsis,themis-base,lower,0.884,0.8038000000000001,0.972
sim,Carbon per job (g),per,themis-base,lower,1.2249230769230768,1.127076923076923,1.3187692307692307
sim,Carbon per job (g),themis,themis-base,lower,1.0037837837837837,0.9227554054054053,1.0864378378378376
sim,Carbon per job (g),hetpolicy,themis-base,lower,0.884,0.796,0.972
sim,Jobs per kWh,themis-base,themis-base,higher,,,
sim,Jobs per kWh,k8s-default,themis-base,higher,,,
sim,Jobs per kWh,carbonscaler,themis-base,higher,,,
sim,Jobs per kWh,keids,themis-base,higher,,,
sim,Jobs per kWh,topsis,themis-base,higher,,,
sim,Jobs per kWh,per,themis-base,higher,,,
sim,Jobs per kWh,themis,themis-base,higher,,,
sim,Jobs per kWh,hetpolicy,themis-base,higher,,,
